序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688068,热景生物,,,变动详情股吧行情,9.00%,2.56,358.2,2025年2季度
2,301367,瑞迈特,,,变动详情股吧行情,6.76%,3.2,269.12,2025年2季度
3,688356,键凯科技,,,变动详情股吧行情,6.28%,3.54,249.97,2025年2季度
4,688085,三友医疗,,,变动详情股吧行情,5.31%,11.0,211.53,2025年2季度
5,300723,一品红,,,变动详情股吧行情,4.71%,3.74,187.45,2025年2季度
6,688266,泽璟制药,,,变动详情股吧行情,4.59%,1.7,182.77,2025年2季度
7,688799,华纳药厂,,,变动详情股吧行情,4.25%,4.1,169.33,2025年2季度
8,2294,信立泰,,,变动详情股吧行情,4.16%,3.5,165.66,2025年2季度
9,301230,泓博医药,,,变动详情股吧行情,3.93%,4.55,156.61,2025年2季度
10,300558,贝达药业,,,变动详情股吧行情,3.64%,2.5,144.88,2025年2季度
1,688085,三友医疗,,,股吧行情,7.39%,28.6,508.22,2025年1季度
2,301367,怡和嘉业,,,股吧行情,5.18%,4.42,356.56,2025年1季度
3,688356,键凯科技,,,股吧行情,5.12%,6.16,352.45,2025年1季度
4,688068,热景生物,,,股吧行情,4.53%,3.26,311.4,2025年1季度
5,301363,美好医疗,,,股吧行情,4.29%,10.1,294.92,2025年1季度
6,688617,惠泰医疗,,,股吧行情,3.38%,0.6,232.38,2025年1季度
7,600079,人福医药,,,股吧行情,3.29%,11.0,226.6,2025年1季度
8,603127,昭衍新药,,,股吧行情,3.25%,11.0,223.74,2025年1季度
9,688046,药康生物,,,股吧行情,3.21%,16.02,221.07,2025年1季度
10,688117,圣诺生物,,,股吧行情,3.16%,7.43,217.77,2025年1季度
