序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688271,联影医疗,股吧行情,5.41%,7.4,1013.87,2023年4季度
2,301363,美好医疗,股吧行情,5.28%,26.89,989.55,2023年4季度
3,688580,伟思医疗,股吧行情,5.16%,15.13,967.56,2023年4季度
4,688550,瑞联新材,股吧行情,4.02%,19.0,753.92,2023年4季度
5,688389,普门科技,股吧行情,3.96%,33.0,742.83,2023年4季度
6,688108,赛诺医疗,股吧行情,3.48%,52.0,652.6,2023年4季度
7,300396,迪瑞医疗,股吧行情,3.14%,20.0,589.0,2023年4季度
8,300760,迈瑞医疗,股吧行情,2.59%,1.67,485.53,2023年4季度
9,603658,安图生物,股吧行情,2.46%,8.1,461.78,2023年4季度
10,688062,迈威生物,股吧行情,2.45%,14.02,458.43,2023年4季度
1,688389,普门科技,股吧行情,5.40%,31.11,666.33,2023年3季度
2,688351,微电生理,股吧行情,5.34%,30.0,658.5,2023年3季度
3,688580,伟思医疗,股吧行情,4.40%,7.93,542.81,2023年3季度
4,688062,迈威生物,股吧行情,4.00%,20.0,493.4,2023年3季度
5,688108,赛诺医疗,股吧行情,3.97%,41.0,489.54,2023年3季度
6,2422,科伦药业,股吧行情,3.05%,12.9,376.04,2023年3季度
7,688271,联影医疗,股吧行情,2.72%,3.23,335.95,2023年3季度
8,300760,迈瑞医疗,股吧行情,2.71%,1.24,334.56,2023年3季度
9,688131,皓元医药,股吧行情,2.70%,6.0,332.41,2023年3季度
10,300633,开立医疗,股吧行情,2.69%,6.8,331.64,2023年3季度
1,688271,联影医疗,股吧行情,4.15%,5.02,692.47,2023年2季度
2,688062,迈威生物,股吧行情,3.99%,30.9,665.28,2023年2季度
3,688131,皓元医药,股吧行情,3.95%,11.58,660.08,2023年2季度
4,688276,百克生物,股吧行情,2.60%,6.93,433.51,2023年2季度
5,300003,乐普医疗,股吧行情,2.56%,18.89,427.1,2023年2季度
6,300760,迈瑞医疗,股吧行情,2.55%,1.42,425.72,2023年2季度
7,688236,春立医疗,股吧行情,2.44%,16.6,406.7,2023年2季度
8,2422,科伦药业,股吧行情,2.42%,13.6,403.65,2023年2季度
9,600079,人福医药,股吧行情,2.41%,14.92,401.94,2023年2季度
10,688161,威高骨科,股吧行情,2.39%,9.2,398.45,2023年2季度
1,600329,达仁堂,股吧行情,5.74%,11.75,474.49,2023年1季度
2,688271,联影医疗,股吧行情,5.31%,2.85,439.2,2023年1季度
3,768,中航西飞,股吧行情,4.92%,15.81,406.79,2023年1季度
4,688131,皓元医药,股吧行情,3.30%,2.39,273.31,2023年1季度
5,688056,莱伯泰科,股吧行情,3.21%,6.01,265.34,2023年1季度
6,688179,阿拉丁,股吧行情,3.09%,6.83,255.3,2023年1季度
7,688276,百克生物,股吧行情,3.06%,4.6,253.14,2023年1季度
8,300171,东富龙,股吧行情,3.03%,9.3,250.73,2023年1季度
9,600079,人福医药,股吧行情,3.00%,9.28,248.52,2023年1季度
10,300003,乐普医疗,股吧行情,2.94%,10.51,243.62,2023年1季度
