序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,301363,美好医疗,股吧行情,7.38%,17.66,572.54,2024年4季度
2,688617,惠泰医疗,股吧行情,6.29%,1.31,487.75,2024年4季度
3,688085,三友医疗,股吧行情,5.49%,20.1,425.92,2024年4季度
4,688677,海泰新光,股吧行情,4.57%,9.4,354.17,2024年4季度
5,301230,泓博医药,股吧行情,4.56%,13.84,353.2,2024年4季度
6,301367,怡和嘉业,股吧行情,4.49%,5.52,347.76,2024年4季度
7,688068,热景生物,股吧行情,4.31%,5.4,333.94,2024年4季度
8,688271,联影医疗,股吧行情,4.25%,2.6,329.13,2024年4季度
9,688356,键凯科技,股吧行情,4.23%,5.76,328.01,2024年4季度
10,688389,普门科技,股吧行情,4.08%,21.27,316.7,2024年4季度
1,301363,美好医疗,股吧行情,6.56%,25.5,877.46,2024年3季度
2,688271,联影医疗,股吧行情,5.16%,5.39,690.46,2024年3季度
3,688389,普门科技,股吧行情,4.62%,36.27,617.67,2024年3季度
4,688617,惠泰医疗,股吧行情,4.25%,1.39,569.05,2024年3季度
5,688293,奥浦迈,股吧行情,4.08%,16.19,545.67,2024年3季度
6,688677,海泰新光,股吧行情,3.91%,14.79,523.6,2024年3季度
7,688426,康为世纪,股吧行情,3.77%,23.18,503.69,2024年3季度
8,300347,泰格医药,股吧行情,3.68%,7.14,492.59,2024年3季度
9,301239,普瑞眼科,股吧行情,3.31%,9.6,442.18,2024年3季度
10,301367,怡和嘉业,股吧行情,3.17%,5.32,424.54,2024年3季度
1,688580,伟思医疗,股吧行情,4.24%,21.28,569.45,2024年2季度
2,300003,乐普医疗,股吧行情,3.97%,35.9,532.76,2024年2季度
3,300760,迈瑞医疗,股吧行情,3.66%,1.69,491.64,2024年2季度
4,688062,迈威生物,股吧行情,3.65%,16.9,489.09,2024年2季度
5,688271,联影医疗,股吧行情,3.52%,4.3,471.71,2024年2季度
6,688338,赛科希德,股吧行情,3.30%,20.47,443.15,2024年2季度
7,2001,新和成,股吧行情,3.15%,22.0,422.4,2024年2季度
8,688389,普门科技,股吧行情,3.14%,25.9,421.13,2024年2季度
9,688108,赛诺医疗,股吧行情,3.13%,46.9,419.29,2024年2季度
10,688550,瑞联新材,股吧行情,3.06%,17.68,410.0,2024年2季度
1,688580,伟思医疗,股吧行情,4.58%,14.3,702.13,2024年1季度
2,688062,迈威生物,股吧行情,3.62%,15.82,554.14,2024年1季度
3,300396,迪瑞医疗,股吧行情,3.29%,22.9,504.26,2024年1季度
4,688389,普门科技,股吧行情,3.18%,26.9,486.62,2024年1季度
5,688108,赛诺医疗,股吧行情,3.16%,40.9,483.85,2024年1季度
6,300760,迈瑞医疗,股吧行情,3.10%,1.69,475.67,2024年1季度
7,688271,联影医疗,股吧行情,2.96%,3.5,454.3,2024年1季度
8,688056,莱伯泰科,股吧行情,2.88%,17.1,440.67,2024年1季度
9,688253,英诺特,股吧行情,2.66%,11.0,407.77,2024年1季度
10,603658,安图生物,股吧行情,2.64%,7.1,404.27,2024年1季度
