排序	编码		名称		类型		2025-09-11	2025-10-10	净增长	增长率
1	014951	汇安润阳三年持有期混合C		混合型-偏股		0.9249		1.1952		0.2703	29.22%
2	014497	诺安研究优选混合C		混合型-偏股		1.0289		1.3182		0.2893	28.12%
3	022607	汇安行业龙头混合C		混合型-偏股		1.9680		2.5165		0.5485	27.87%
4	013841	银华集成电路混合C		混合型-偏股		1.1826		1.5096		0.327	27.65%
5	014536	诺安高端制造股票C		股票型		1.6850		2.1400		0.455	27.0%
6	007491	南方信息创新混合C		混合型-偏股		2.0207		2.5556		0.5349	26.47%
7	017811	东方人工智能主题混合C		混合型-偏股		1.2611		1.5942		0.3331	26.41%
8	021533	天弘中证半导体材料设备主题指数发起C		指数型-股票		1.4392		1.7793		0.3401	23.63%
9	020357	华夏半导体材料设备ETF联接C		指数型-股票		1.5400		1.8930		0.353	22.92%
10	023829	万家中证半导体材料设备主题ETF发起式联接C		指数型-股票		1.1827		1.4501		0.2674	22.61%
11	021894	易方达半导体设备ETF联接C		指数型-股票		1.1242		1.3782		0.254	22.59%
12	020640	广发中证半导体材料设备ETF发起式联接C		指数型-股票		1.4807		1.8093		0.3286	22.19%
13	019633	国泰半导体设备ETF联接C		指数型-股票		1.2880		1.5735		0.2855	22.17%
14	024418	华夏上证科创板半导体材料设备主题ETF发起式联接C		指数型-股票		1.0247		1.2494		0.2247	21.93%
15	016262	银华智荟内在价值灵活配置混合发起C		混合型-灵活		2.0080		2.4434		0.4354	21.68%
16	021793	华泰保兴产业升级混合发起C		混合型-偏股		1.2669		1.5376		0.2707	21.37%
17	019571	诺安优化配置混合C		混合型-偏股		2.1540		2.6109		0.4569	21.21%
18	020436	金信稳健策略混合C		混合型-灵活		1.8155		2.1957		0.3802	20.94%
19	020451	金信行业优选混合发起式C		混合型-灵活		2.2151		2.6771		0.462	20.86%
20	019925	华宝竞争优势混合C		混合型-偏股		0.7505		0.9063		0.1558	20.76%
21	013843	银华新锐成长混合C		混合型-偏股		1.0513		1.2677		0.2164	20.58%
22	014855	嘉实中证半导体指数增强发起式C		指数型-股票		1.6240		1.9532		0.3292	20.27%
23	020554	南方半导体产业股票发起C		股票型		1.6822		2.0223		0.3401	20.22%
24	015687	银华乐享混合C		混合型-偏股		0.7623		0.9156		0.1533	20.11%
25	024975	华泰柏瑞上证科创板半导体材料设备主题ETF发起式联接C		指数型-股票		1.1027		1.3244		0.2217	20.11%
26	020986	汇安景气成长混合C		混合型-偏股		1.1286		1.3535		0.2249	19.93%
27	024070	上银中证半导体产业指数发起式C		指数型-股票		1.3140		1.5717		0.2577	19.61%
28	018777	金信精选成长混合C		混合型-偏股		1.3171		1.5744		0.2573	19.54%
29	020840	南方中证半导体产业指数发起C		指数型-股票		1.7798		2.1247		0.3449	19.38%
30	025333	诺安成长混合C		混合型-偏股		1.6320		1.9410		0.309	18.93%
31	023398	尚正研究睿选混合发起C		混合型-偏股		1.1955		1.4216		0.2261	18.91%
32	021719	华泰紫金中证半导体产业指数型发起C		指数型-股票		1.6788		1.9945		0.3157	18.81%
33	021938	华安半导体产业股票发起式C		股票型		1.2723		1.5070		0.2347	18.45%
34	023037	中欧资源精选混合发起C		混合型-偏股		1.3815		1.6296		0.2481	17.96%
35	020465	招商中证半导体产业ETF发起式联接C		指数型-股票		1.8572		2.1887		0.3315	17.85%
36	023045	太平科技先锋混合发起式C		混合型-偏股		1.2775		1.5046		0.2271	17.78%
37	015968	永赢半导体产业智选混合发起C		混合型-偏股		1.4595		1.7174		0.2579	17.67%
38	017076	宝盈半导体产业混合发起式C		混合型-偏股		1.6805		1.9740		0.2935	17.47%
39	001174	中欧瑾和灵活配置混合C		混合型-灵活		1.6738		1.9653		0.2915	17.42%
40	018156	创金合信全球医药生物股票发起(QDII)C		QDII-普通股票		1.3131		1.5418		0.2287	17.42%
41	017747	建信电子行业股票C		股票型		1.5641		1.8247		0.2606	16.66%
42	016569	嘉实碳中和主题混合C		混合型-偏股		1.5636		1.8238		0.2602	16.64%
43	013312	工银主题策略混合C		混合型-偏股		3.7370		4.3570		0.62	16.59%
44	019889	中欧周期优选混合发起C		混合型-偏股		1.4767		1.7210		0.2443	16.54%
45	008656	招商科技创新混合C		混合型-偏股		1.5520		1.8052		0.2532	16.31%
46	020470	长城半导体混合发起式C		混合型-偏股		1.7310		2.0121		0.2811	16.24%
47	022084	华安中证有色金属矿业主题指数发起式C		指数型-股票		1.4806		1.7170		0.2364	15.97%
48	015773	招商移动互联网产业股票基金C		股票型		1.5259		1.7676		0.2417	15.84%
49	018326	国泰海通创新成长混合发起C		混合型-偏股		1.2431		1.4400		0.1969	15.84%
50	003625	创金合信资源股票发起式C		股票型		3.0540		3.5373		0.4833	15.83%
51	014194	汇添富中证芯片产业指数增强发起式C		指数型-股票		1.0857		1.2575		0.1718	15.82%
